package,repo_owner,cran,logo_ext
redist,alarm-redist,TRUE,png
seine,CoryMcCartan,FALSE,svg
birdie,CoryMcCartan,TRUE,png
bases,CoryMcCartan,TRUE,png
easycensus,CoryMcCartan,TRUE,png
redistmetrics,alarm-redist,TRUE,png
adjustr,CoryMcCartan,FALSE,png
PL94171,CoryMcCartan,TRUE,png
conformalbayes,CoryMcCartan,TRUE,png
alarmdata,alarm-redist,TRUE,png
blockpop,CoryMcCartan,FALSE,png
ggredist,alarm-redist,TRUE,png
tinytiger,alarm-redist,TRUE,png
causaltbl,CoryMcCartan,FALSE,png
wacolors,CoryMcCartan,TRUE,NA
nbhdmodel,CoryMcCartan,FALSE,NA
